TransactionID,SaleDate,CustomerID,ProductID,StoreID,CampaignID,SaleAmount,BonusPoints,State
622,8/1/2024,1003,108,403,0,100.48,10.048,North Carolina 
623,8/1/2024,1002,107,402,0,536.16,53.616,Alabama
624,8/2/2024,1011,108,401,0,125.6,12.56,Florida
625,8/2/2024,1002,108,402,0,125.6,12.56,South Carolina 
626,8/5/2024,1003,108,403,0,37.68,3.768,Montana
627,8/5/2024,1006,104,406,0,129.3,12.93,Montana
628,8/14/2024,1011,107,401,0,201.06,20.106,Florida
629,8/14/2024,1006,101,406,0,2379.36,237.936,Nevada
630,8/21/2024,1007,104,405,0,172.4,17.24,California
631,8/21/2024,1002,107,402,0,268.08,26.808,Colorado
632,8/25/2024,1006,108,406,0,75.36,7.536,Arizona
633,8/25/2024,1002,104,402,0,258.6,25.86,Missouri
634,8/28/2024,1006,105,406,0,39.56,3.956,Florida
635,8/28/2024,1005,106,405,0,177.96,17.796,Arizona
636,9/5/2024,1005,107,405,3,1072.32,107.232,Arizona
637,9/5/2024,1007,107,405,3,1072.32,107.232,Iowa
638,9/22/2024,1001,101,401,3,6344.96,634.496,Colorado
639,9/22/2024,1007,104,405,3,689.6,68.96,Alabama
640,9/30/2024,1005,107,405,3,268.08,26.808,Nebraska
641,9/30/2024,1010,103,402,3,45.52,4.552,California
642,10/10/2024,1002,101,402,0,5551.84,555.184,Florida
643,10/10/2024,1010,104,402,0,301.7,30.17,Missouri
